piEstimate,error
3.14367,0
3.11695,0.0267153
3.13852,0.0265209
3.1371,0.0188071
3.12735,0.0175324
3.11549,0.0185847
3.13036,0.0216283
3.1303,0.0187308
3.13179,0.0165856
3.12917,0.0150642
3.13357,0.0143205
3.13132,0.0132653
3.13403,0.0124997
3.13672,0.0118793
3.13235,0.0118889
3.13411,0.0112599
3.13398,0.0105777
3.13327,0.0099984
3.13125,0.00966941
3.12783,0.00979114
3.13344,0.0108739
3.131,0.010651
3.13164,0.0101973
3.13161,0.00976322
3.13189,0.00936888
3.13475,0.00944365
3.13497,0.00908983
3.13416,0.00879633
3.13418,0.00848762
3.13291,0.00829814
3.13438,0.00816043
3.13361,0.00793963
3.13373,0.0076963
3.13273,0.00753285
3.13296,0.007318
3.13429,0.0072342
3.13465,0.00704519
3.13669,0.00715557
3.13808,0.00710648
3.13994,0.007171
3.13929,0.00702396
3.13832,0.00692195
3.13995,0.00695174
3.13906,0.00685001
3.13912,0.00669631
3.13862,0.00656798
3.1405,0.00669527
3.14159,0.00664442
3.14019,0.00665564
3.14106,0.00657898
3.14127,0.00645199
3.14162,0.00633647
3.14153,0.00621644
3.14233,0.00615243
3.14384,0.00622734
3.14253,0.00625452
3.14297,0.00615949
3.14203,0.00612525
3.14182,0.00602405
3.14132,0.00594448
3.14234,0.00593613
3.14349,0.0059509
3.14329,0.0058591
3.14422,0.005842
3.14396,0.00575755
3.14427,0.00567823
3.14232,0.00592184
3.14326,0.00590914
3.1424,0.0058868
3.14273,0.00581152
3.14255,0.00573193
3.14229,0.00565761
3.14147,0.00563914
3.14235,0.00563068
3.14127,0.00565783
3.14189,0.00561629
3.14145,0.00555982
3.14084,0.00552161
3.14035,0.0054737
3.14039,0.005405
3.14089,0.00536096
3.14112,0.00530007
3.14019,0.00531623
3.13958,0.00528873
3.13957,0.00522615
3.13902,0.00519437
3.13982,0.00519739
3.13991,0.00513875
3.14028,0.00509393
3.14081,0.00506457
3.14071,0.00500957
3.14105,0.00496692
3.1411,0.00491347
3.14067,0.00487982
3.14001,0.00487323
3.1398,0.00482709
3.13937,0.00479568
3.13954,0.00474937
3.1391,0.0047217
3.13981,0.00472812
