uniformSampling,uniformError,importanceSampling,importanceError
0.999952,0,1.00055,0
0.998975,0.000977103,1.00046,8.20019e-005
1.00019,0.00133771,1.00014,0.000328483
1.00002,0.0009613,1.0001,0.000235372
0.999917,0.000751126,0.999993,0.000211574
0.999961,0.00061486,0.999969,0.00017444
0.998076,0.00195557,0.999913,0.000157671
0.998538,0.00175532,0.999985,0.000154485
0.99806,0.00161996,0.999942,0.000142854
0.998481,0.00150878,0.999918,0.000130124
0.998768,0.00139456,0.999942,0.00012013
0.999147,0.00132825,0.999996,0.000122362
0.999111,0.00122234,0.999945,0.000123666
0.998859,0.00115946,0.999896,0.000124616
0.998445,0.00115607,0.999863,0.000120639
0.998874,0.00116368,0.99986,0.00011288
0.999068,0.00111004,0.999884,0.000108746
0.999093,0.00104687,0.999916,0.000107344
0.998824,0.0010263,0.999882,0.000107087
0.999187,0.00103934,0.99994,0.000117176
0.999606,0.00107353,0.99998,0.000118499
0.999506,0.0010284,1.00002,0.000120193
0.999404,0.000987936,1.00002,0.000114859
0.999056,0.00100816,1.00001,0.000110416
0.999196,0.000977123,0.999982,0.000109589
0.999052,0.000949759,0.999986,0.000105384
0.999152,0.000919356,0.999992,0.000101586
0.999435,0.000930103,1.00001,9.9561e-005
0.999639,0.00092026,1.00003,9.7505e-005
0.999534,0.000895178,1.00002,9.44683e-005
0.999615,0.000869542,1.00002,9.14568e-005
0.99948,0.000852581,0.999989,9.51663e-005
0.999546,0.000828928,1.00001,9.36661e-005
0.999429,0.000812586,0.999999,9.10638e-005
0.999471,0.000790143,0.999994,8.85866e-005
0.999588,0.000776705,1,8.66777e-005
0.999637,0.000757029,1.00002,8.66802e-005
0.999768,0.000748425,1.00002,8.46549e-005
0.999741,0.000729504,1,8.41239e-005
0.999795,0.000713089,1,8.19948e-005
1.0001,0.00076096,1.00003,8.37756e-005
1.00019,0.000747603,1.00005,8.56274e-005
1.00032,0.000742051,1.00006,8.39171e-005
1.0001,0.00075806,1.00005,8.20454e-005
0.999911,0.000765186,1.00004,8.13596e-005
0.999892,0.000748606,1.00003,8.08807e-005
0.999963,0.00073595,1.00003,7.91948e-005
1.00005,0.000725192,1.00004,7.7877e-005
1.00011,0.000713459,1.00004,7.66397e-005
1.00017,0.00070143,1.00004,7.51244e-005
1.00029,0.00069737,1.00006,7.50224e-005
1.00026,0.000684394,1.00005,7.35998e-005
1.00016,0.000679341,1.00006,7.26518e-005
1.00008,0.000671006,1.00006,7.1298e-005
1.00013,0.000660505,1.00006,7.01631e-005
1.0001,0.000649156,1.00006,6.88993e-005
1.00006,0.000639349,1.00005,6.86787e-005
1.00005,0.000628291,1.00004,6.81997e-005
1.0001,0.000620106,1.00005,6.82011e-005
1.00033,0.00065069,1.00006,6.73411e-005
1.00027,0.000642875,1.00005,6.63102e-005
1.00023,0.000633411,1.00004,6.57013e-005
1.0003,0.000626369,1.00006,6.61167e-005
1.00024,0.000619397,1.00007,6.55894e-005
1.00022,0.000609954,1.00005,6.57805e-005
1.00026,0.000601707,1.00006,6.50643e-005
1.00024,0.000592868,1.00006,6.40942e-005
1.00023,0.000584218,1.00006,6.31972e-005
1.00037,0.000593547,1.00007,6.28154e-005
1.0004,0.000585737,1.00008,6.2117e-005
1.00043,0.000577886,1.00008,6.13136e-005
1.00043,0.000569804,1.00008,6.06425e-005
1.00043,0.000561972,1.00008,6.01327e-005
1.00039,0.000555794,1.00008,5.94146e-005
1.00041,0.000548634,1.00009,5.97016e-005
1.0004,0.000541502,1.0001,5.94678e-005
1.00031,0.000542076,1.0001,5.86908e-005
1.00042,0.000547077,1.0001,5.80184e-005
1.00039,0.000541036,1.0001,5.7393e-005
1.00035,0.000535464,1.00009,5.69163e-005
1.00021,0.000547812,1.00009,5.64839e-005
1.00023,0.000541552,1.00008,5.59512e-005
1.00017,0.000538364,1.00008,5.56634e-005
1.00016,0.00053204,1.00008,5.50017e-005
1.00015,0.000525849,1.00007,5.46507e-005
1.00012,0.000520625,1.00007,5.40556e-005
1.00014,0.000515168,1.00008,5.35865e-005
1.00018,0.000510805,1.00008,5.3271e-005
1.00016,0.000505742,1.00008,5.28414e-005
1.00016,0.000500124,1.00008,5.22774e-005
1.00026,0.000505095,1.00008,5.191e-005
1.00036,0.000508382,1.00009,5.17226e-005
1.0003,0.000506871,1.00008,5.15095e-005
1.00026,0.000502881,1.00007,5.15432e-005
1.00023,0.000498111,1.00007,5.11525e-005
1.0002,0.000493853,1.00007,5.08088e-005
1.00026,0.000491655,1.00007,5.03024e-005
1.00026,0.000486672,1.00006,5.01052e-005
1.00028,0.000481983,1.00007,5.00227e-005
1.00021,0.000482763,1.00006,4.99558e-005
