r2,r2^2,err
1.59271,2.53671,0
1.7892,3.23985,0.196494
1.67379,2.85395,0.161832
1.62137,2.67636,0.125868
1.58386,2.55227,0.104462
1.5567,2.46339,0.0895122
1.58715,2.55893,0.0815464
1.59694,2.58579,0.071297
1.58245,2.53746,0.0645252
1.5672,2.48819,0.0596937
1.55028,2.43538,0.0565859
1.54731,2.42361,0.0517408
1.53819,2.3942,0.0484607
1.53,2.36794,0.0456069
1.51676,2.32825,0.0444738
1.51506,2.3214,0.0416363
1.52595,2.3549,0.0405996
1.52416,2.34802,0.0383197
1.53101,2.36849,0.0368892
1.5113,2.31467,0.0401679
1.515,2.3247,0.0383866
1.52774,2.36551,0.038752
1.53303,2.38095,0.0374051
1.53043,2.37188,0.0359065
1.53376,2.38114,0.0346004
1.52864,2.36502,0.0336345
1.53138,2.37256,0.0324807
1.53066,2.3694,0.0313074
1.52676,2.35696,0.0304603
1.52668,2.35587,0.0294276
1.52657,2.35472,0.0284627
1.52529,2.35012,0.0275884
1.52126,2.33764,0.0270415
1.52071,2.33527,0.0262399
1.52062,2.33435,0.0254794
1.52365,2.34328,0.0249462
1.52165,2.33676,0.0243448
1.52555,2.34862,0.0240135
1.52633,2.3505,0.0234028
1.52264,2.33924,0.0231076
1.52524,2.34696,0.0226875
1.52495,2.34556,0.0221427
1.52284,2.33886,0.0217238
1.52879,2.35809,0.0220421
1.52845,2.3566,0.0215494
1.53284,2.37047,0.0215287
1.53233,2.36846,0.0210719
1.53414,2.37373,0.0207071
1.53322,2.37056,0.0203006
1.53258,2.36821,0.0199009
1.53461,2.37426,0.0196122
1.5331,2.36938,0.0192905
1.53108,2.36304,0.0190304
1.53225,2.36633,0.0187109
1.53274,2.36753,0.0183743
1.53229,2.36583,0.0180488
1.53596,2.37752,0.0181046
1.53459,2.37312,0.0178421
1.53536,2.37521,0.017554
1.53622,2.3776,0.0172804
1.53206,2.36557,0.0174982
1.531,2.3621,0.0172461
1.5334,2.36954,0.0171399
1.53374,2.3703,0.0168733
1.53119,2.36263,0.0168059
1.53025,2.35953,0.016576
1.53218,2.36541,0.0164402
1.53067,2.36067,0.0162673
1.52774,2.35204,0.0162951
1.52672,2.34875,0.0160926
1.52654,2.34795,0.0158654
1.52661,2.3479,0.0156436
1.52402,2.34027,0.0156422
1.52464,2.34194,0.0154418
1.52951,2.35833,0.0159931
1.53039,2.36084,0.015806
1.52915,2.35692,0.0156487
1.53095,2.36243,0.0155508
1.52949,2.35788,0.0154222
1.53209,2.36615,0.0154487
1.52931,2.35802,0.0155082
1.52769,2.35304,0.0154033
1.52685,2.35032,0.0152395
1.52507,2.34491,0.0151625
1.52438,2.34265,0.0149985
1.52357,2.34001,0.0148452
1.52447,2.34258,0.0147006
1.52185,2.33499,0.0147667
1.52075,2.33154,0.0146412
1.52041,2.3303,0.0144816
1.52063,2.33077,0.0143233
1.52275,2.33745,0.0143253
1.52113,2.33254,0.0142632
1.52174,2.33425,0.014124
1.52035,2.33001,0.0140434
1.52005,2.3289,0.0138996
1.51861,2.32453,0.0138311
1.51518,2.31508,0.0141121
1.51638,2.31868,0.0140209
1.51703,2.32049,0.0138949
